id,service_provider,activity,well_name,template_id,split,heldout_provider,heldout_activity
3747,Schlumberger,Sliae Drilling,NS 84,slb_slide_drilling_v1,train,0,0
3748,Hal,Sliidng,NS-052ST1,halliburton_slide_drilling_v1,train,0,0
3749,Schlumbergrr,rotary drilling,bh-17,slb_rotary_drilling_v1,train,0,0
3750,bakerhughes,holn circulation,AR9A,baker_hughes_circulating_v2,val,0,0
3751,  baker  hughes ,circulate,ar-28,baker_hughes_circulating_v2,val,0,0
3752,  Schlumberger ,Circ.,AR-21,slb_circulating_v2,train,0,0
3753,Baker Hughes Co,tripping out,KG-20H,baker_hughes_trip_out_v1,train,0,0
3754,SLB Ltd,circulation,KG 54,slb_circulating_v1,train,0,0
3755,Schlumberger,drilling rotary,KG44H,slb_rotary_drilling_v1,train,0,0
3756,BakerHuhes,PULL OUT OF HOLE,WELL-MB-52,baker_hughes_trip_out_v1,train,0,0
3757,Halliburton,rot. drilling,NS-080ST1,halliburton_rotary_drilling_v2,train,0,0
3758,Schlumberger,RIH,BH-98,slb_trip_in_v1,train,0,0
3759,Halliburton Energy Services,circulte,AR70ST1,halliburton_circulating_v2,train,0,0
3760,  Schlumberger  Ltd ,pulling out of hole,bh-69A,slb_trip_out_v1,train,0,0
3761,Baker Hughes no,circullation,NS 63ST1,baker_hughes_circulating_v2,train,0,0
3762,Bakerhughes,trip out,ar-65H,baker_hughes_trip_out_v1,train,0,0
3763,Baker Hughes,drilling - rotary,KG-054,baker_hughes_rotary_drilling_v1,train,0,0
3764,baker hughes,cicr,AR83,baker_hughes_circulating_v2,train,0,0
3765,Baker Hughes,RUN IN HOLE,kg-99,baker_hughes_trip_in_v1,train,0,0
3766,Hallibutron,drlling rotary,AR18,halliburton_rotary_drilling_v2,test,0,0
3767,halliburton,Trip-Out,WELL-KG-89,halliburton_trip_out_v1,train,0,0
3768,Halliburton Energy Services,rih,mb-89,halliburton_trip_in_v1,test,0,0
3769,Schlumberger Ltd,trip out,WELL-MB-47,slb_trip_out_v1,train,0,0
3770,Schlumberger,rotary drill,MB-042A,slb_rotary_drilling_v1,val,0,0
3771,Halliburton,circulation,WELL-AR-15H,halliburton_circulating_v2,train,0,0
3772,  baker  hughes co ,Drilling Rotary,NS-053,baker_hughes_rotary_drilling_v2,train,0,0
3773,Schlumberger Ltd,Pulling Out Of Hole,AR 57,slb_trip_out_v1,train,0,0
3774,BakerHughvs,Hle Circulation,AR-094,baker_hughes_circulating_v2,test,0,0
3775,Baker Hughes,running in hole,MB 95A,baker_hughes_trip_in_v1,test,0,0
3776,slb ltd,circulate,MB-81H,slb_circulating_v1,train,0,0
3777,schlumberger ltd,hole circulation,WELL-NS-60A,slb_circulating_v2,train,0,0
3778,shclumberger ltd,TRIPPING OUT,WELL-AR-19,slb_trip_out_v1,train,0,0
3779,Halliburton,running in hole,bh-42,halliburton_trip_in_v1,val,0,0
3780,baker hughes co,  hole  circulation ,NS24,baker_hughes_circulating_v2,train,0,0
3781,Hallbiurton,Circulate,MB64,halliburton_circulating_v1,train,0,0
3782,Hallliburton Energy Services,circulate,NS 1A,halliburton_circulating_v2,val,0,0
3783,schlumberger,Drilling - Rotary,MB-029A,slb_rotary_drilling_v1,train,0,0
3784,Slb,circulation,KG32ST1,slb_circulating_v1,train,0,0
3785,SLB INTL,pulling out hole,WELL-MB-60,slb_trip_out_v1,test,1,1
3786,Baker Hughes Co,  Tih ,AR 84,baker_hughes_trip_in_v1,train,0,0
3787,HAL,slide drlg,NS-063ST1,halliburton_slide_drilling_v1,train,0,0
3788,halliburton energy services,TRIP-IN,KG22ST1,halliburton_trip_in_v1,train,0,0
3789,Slb Ltd,  rotarydrill ,WELL-MB-47,slb_rotary_drilling_v1,train,0,0
3790,Schlumberger Ltd,Running In Hole,WELL-KG-76,slb_trip_in_v1,train,0,0
3791,BakerHughes,CIRCULATION,bh-94,baker_hughes_circulating_v1,train,0,0
3792,  schlumberger  ltd ,sliding,WELL-BH-9H,slb_slide_drilling_v1,train,0,0
3793,bkr,ROT. DRILLING,KG 1H,baker_hughes_rotary_drilling_v1,val,0,0
3794,BakerHughes,ROTARY DRILLING,BH94,baker_hughes_rotary_drilling_v1,train,0,0
3795,Schlumberger Ltd,TIH,BH-094,slb_trip_in_v1,train,0,0
3796,hal,directional slide,NS14A,halliburton_slide_drilling_v1,test,0,1
3797,Schlumberger Limited,run in hole,BH 40,slb_trip_in_v1,test,1,0
3798,halliburton energy services,Pooh,AR 48,halliburton_trip_out_v1,val,0,0
3799,SLB,SLIDE DIRLLING,BH 68,slb_slide_drilling_v1,train,0,0
3800,BAKERHUGHES,rot. drilling,BH-63ST1,baker_hughes_rotary_drilling_v1,train,0,0
3801,HALLIBURTON ENERYG SERVICES,rotary drill,KG-71,halliburton_rotary_drilling_v1,train,0,0
3802,Halliburton Energy Services,tooh,MB21,halliburton_trip_out_v1,test,0,0
3803,BAKER HUGHES CO,SLIDING MODE DRILLING,ns-2ST1,baker_hughes_slide_drilling_v1,train,0,0
3804,BKR,  run  in hole ,ns-57,baker_hughes_trip_in_v1,val,0,0
3805,Halliburton Intl,hole circulation,KG87ST1,halliburton_circulating_v1,test,1,0
3806,baker hughs,RIH,KG-001H,baker_hughes_trip_in_v1,val,0,0
3807,hal,  sliding  mode drilling ,bh-32,halliburton_slide_drilling_v1,train,0,0
3808,  SLB ,  TIH ,NS-053,slb_trip_in_v1,train,0,0
3809,HALLIBURTON,run in hloe,NS-049,halliburton_trip_in_v1,train,0,0
3810,BAKREHUGHES,trip out,NS-63ST1,baker_hughes_trip_out_v1,train,0,0
3811,Halliburton Energy Services,RIH,MB 9H,halliburton_trip_in_v1,test,0,0
3812,BAKER-HUGHES,circulate,MB-060,baker_hughes_circulating_v1,test,1,0
3813,SLB,circulation,WELL-KG-78,slb_circulating_v1,train,0,0
3814,BakerHughes,slide drlg,MB-42A,baker_hughes_slide_drilling_v1,val,0,0
3815,Slb,Rotary Drilling,NS 36ST1,slb_rotary_drilling_v2,train,0,0
3816,  bkr ,CIIRC,mb-88ST1,baker_hughes_circulating_v1,val,0,0
3817,slb ltd,Drilling - Rotray,AR 59ST1,slb_rotary_drilling_v2,train,0,0
3818,SLB Ltd,circulation,NS-18H,slb_circulating_v2,train,0,0
3819,slb,CIRCULATING,kg-30,slb_circulating_v1,train,0,0
3820,Halliburton Co,CIRCULATING,AR-70ST1,halliburton_circulating_v2,train,0,0
3821,Schlumberger Limited,rotary drilling,NS-025ST1,slb_rotary_drilling_v2,test,1,0
3822,SCHLUMBERGER,drilling rotary,KG-044H,slb_rotary_drilling_v1,train,0,0
3823,SchlumbergerL td,drilling - rotarry,NS 1A,slb_rotary_drilling_v2,val,0,0
3824,Hallibuqton Co,  trip  in ,NS63ST1,halliburton_trip_in_v1,train,0,0
3825,bakerhughes co,hole circulation,AR-74,baker_hughes_circulating_v2,val,0,0
3826,SLB Ltd,ROTARY DRILLING,BH 15,slb_rotary_drilling_v1,train,0,0
3827,Baker Hughes Co,trip-in,BH36,baker_hughes_trip_in_v1,train,0,0
3828,slb,slide drill,BH-086A,slb_slide_drilling_v1,train,0,0
3829,Hallibuhton Co,circulate,NS-71,halliburton_circulating_v2,train,0,0
3830,baker hughes co,ROT DRILL,WELL-NS-62,baker_hughes_rotary_drilling_v2,train,0,0
3831,Baker Hughes Company,run in hole,MB-060,baker_hughes_trip_in_v1,test,1,0
3832,Halliburton,rotating drilling,AR 14A,halliburton_rotary_drilling_v2,test,0,1
3833,Halliburton Energy Servvices,tripping in,kg-65,halliburton_trip_in_v1,train,0,0
3834,Schlumebrger Ltd,slide drlg,BH-57A,slb_slide_drilling_v1,train,0,0
3835,BakerHughes,criculation,WELL-NS-58,baker_hughes_circulating_v2,train,0,0
3836,Baker Hughes Co,RIH,BH57A,baker_hughes_trip_in_v1,train,0,0
3837,  Halliburon ,Slide Drlg,ns-62,halliburton_slide_drilling_v1,train,0,0
3838,baker hughes,  cir.c ,MB 60,baker_hughes_circulating_v1,test,0,0
3839,SLB,circulate,MB 97ST1,slb_circulating_v1,train,0,0
3840,SLB Ltd,rotary drill,KG-032ST1,slb_rotary_drilling_v1,train,0,0
3841,SCHLUMBERGER,SLIDING MODE DRILLING,AR83,slb_slide_drilling_v1,train,0,0
3842,HAL,TRIP OUT,mb-47,halliburton_trip_out_v1,train,0,0
3843,HalliburtonCo,drilling - roiary,NS-1A,halliburton_rotary_drilling_v2,val,0,0
3844,schlumberger,drilling rotary,KG-21,slb_rotary_drilling_v1,train,0,0
3845,Schlumberger,pooh,BH-031,slb_trip_out_v1,train,0,0
3846,halliburton energy services,Tih,KG-12A,halliburton_trip_in_v1,train,0,0
3847,  Bakerhughse ,  silde  drill ,BH 98,baker_hughes_slide_drilling_v1,train,0,0
3848,Halliburton Energy Services,drilling - rotary,NS28ST1,halliburton_rotary_drilling_v2,test,0,0
3849,BakerHughes,Drilling Rotary,BH93,baker_hughes_rotary_drilling_v1,val,0,0
3850,Bakerhughes,rotary drlg,KG-20H,baker_hughes_rotary_drilling_v1,train,0,0
3851,Schlumberger Ltd,circjlate,WELL-NS-63ST1,slb_circulating_v2,train,0,0
3852,Hal,CIRC.,KG-044H,halliburton_circulating_v1,train,0,0
3853,Schlumberger,rot. drilling,WELL-NS-1A,slb_rotary_drilling_v2,val,0,0
3854,  SLB ,RIH,BH-052A,slb_trip_in_v1,train,0,0
3855,halliburton energy services,sliding,ns-20H,halliburton_slide_drilling_v1,val,0,0
3856,Hal,circ.,ns-13ST1,halliburton_circulating_v2,train,0,0
3857,BAKERHUGHES,Drilling - Rotary,MB-056ST1,baker_hughes_rotary_drilling_v1,train,0,0
3858,SLB LTD,trip-in,ns-37H,slb_trip_in_v1,val,0,0
3859,Schlumberger,rotary drill,mb-41,slb_rotary_drilling_v1,train,0,0
3860,Baker Hughes Co,slide drlg,KG-4,baker_hughes_slide_drilling_v1,train,0,0
3861,Schlumberger,rot. drilling,BH-29,slb_rotary_drilling_v1,train,0,0
3862,  halliburton  co ,cicr,BH58A,halliburton_circulating_v1,val,0,0
3863,Halliburton Energy Services,drillling - rotary,WELL-NS-10ST1,halliburton_rotary_drilling_v2,train,0,0
3864,Halliburton Energy Services,rotary drlg,BH-71ST1,halliburton_rotary_drilling_v1,val,0,0
3865,halliburton,  Circulate ,KG 36H,halliburton_circulating_v1,train,0,0
3866,  Bkr ,trip in,ar-74,baker_hughes_trip_in_v1,val,0,0
3867,BKR,ROTARY DRLG,WELL-AR-20,baker_hughes_rotary_drilling_v2,test,0,0
3868,Halliburton Energy Services,tripping in,bh-16,halliburton_trip_in_v1,train,0,0
3869,BKR,slide drill,MB-30H,baker_hughes_slide_drilling_v1,test,0,0
3870,BakerHughes,Circ.,WELL-KG-1H,baker_hughes_circulating_v1,val,0,0
3871,SLB,sziding,MB-96ST1,slb_slide_drilling_v1,train,0,0
3872,Schlumberger,hole circulation,AR-002,slb_circulating_v2,val,0,0
3873,SLB,drilling rotary,mb-92,slb_rotary_drilling_v1,train,0,0
3874,Baker Hughes Co,CIRCULATE,MB-096ST1,baker_hughes_circulating_v1,train,0,0
3875,Halliburton,circulate,NS 36ST1,halliburton_circulating_v2,train,0,0
3876,Baker Hughes,tripping in,WELL-MB-8ST1,baker_hughes_trip_in_v1,train,0,0
3877,slj ltd,RUN IN HOLE,KG30,slb_trip_in_v1,train,0,0
3878,  HAL ,circulating mud,AR 20,halliburton_circulating_v2,test,0,1
3879,HALLIBURTON ENERGY SERVICES,hole circulation,MB-032ST1,halliburton_circulating_v1,val,0,0
3880,Schlumberger,circusation,AR17A,slb_circulating_v2,train,0,0
3881,halliburton energy services,drilling rotary,kg-95H,halliburton_rotary_drilling_v1,train,0,0
3882,BakerHughes,Circulation,MB-042A,baker_hughes_circulating_v1,val,0,0
3883,  Halliburton  Co ,ciruclate,ar-17A,halliburton_circulating_v2,train,0,0
3884,baker hughes,run in hole,NS 34ST1,baker_hughes_trip_in_v1,train,0,0
3885,BKR,rotarry drilling,KG-096A,baker_hughes_rotary_drilling_v1,train,0,0
3886,baker hughes,Circulate,BH61,baker_hughes_circulating_v1,test,0,0
3887,HALLIBURTON ENERGY SERVICES,  ROT  DRILL ,AR 69H,halliburton_rotary_drilling_v2,train,0,0
3888,SLB,rotary mode drilling,MB-69,slb_rotary_drilling_v1,test,0,1
3889,bakerhughes,Running In Hole,KG-84,baker_hughes_trip_in_v1,train,0,0
3890,BAKER HUGHES COMPANY,slliding,BH 2,baker_hughes_slide_drilling_v1,test,1,0
3891,bkr,rotary drlg,ns-18H,baker_hughes_rotary_drilling_v2,train,0,0
3892,Halliburton Co,circulation,KG-076,halliburton_circulating_v1,train,0,0
3893,baker hughes,circulating,MB64,baker_hughes_circulating_v1,train,0,0
3894,BakerHughes,  circ. ,MB 4,baker_hughes_circulating_v1,test,0,0
3895,SLB Intl,fluid circulation,WELL-NS-25ST1,slb_circulating_v2,test,1,1
3896,schlumberger,rih,NS-4,slb_trip_in_v1,train,0,0
3897,HAL,TOOH,NS-050ST1,halliburton_trip_out_v1,train,0,0
3898,Schlumberger,Trip Out,bh-52A,slb_trip_out_v1,train,0,0
3899,HALLIBURTON CO,trip  in,WELL-BH-3,halliburton_trip_in_v1,train,0,0
3900,HAL,circ.,AR34,halliburton_circulating_v2,train,0,0
3901,Hallibuurton Energy Services,rot. drilling,AR-70ST1,halliburton_rotary_drilling_v2,train,0,0
3902,hlaliburton co,Rot. Drilling,mb-96ST1,halliburton_rotary_drilling_v1,train,0,0
3903,Baekr Hughes,Circulation,BH 63ST1,baker_hughes_circulating_v1,train,0,0
3904,Hal,pull otu of hole,BH 80H,halliburton_trip_out_v1,train,0,0
3905,Baker Hughes,slide drlg,WELL-NS-70,baker_hughes_slide_drilling_v1,train,0,0
3906,SLB INTL,circ.,AR-018,slb_circulating_v2,test,1,0
3907,halliburton,Silding,WELL-MB-35A,halliburton_slide_drilling_v1,train,0,0
3908,Halliubrton Energy Services,rot. drilling,MB49,halliburton_rotary_drilling_v1,train,0,0
3909,SLB Ltd,running in hhole,AR 15H,slb_trip_in_v1,train,0,0
3910,slb lttd,hole circulation,AR70ST1,slb_circulating_v2,train,0,0
3911,baker hughes,Sliding Mode Drilling,WELL-AR-34,baker_hughes_slide_drilling_v1,train,0,0
3912,  HAL ,trippin out,AR 84,halliburton_trip_out_v1,train,0,0
3913,Schlumberger,ROT DRILL,AR 20,slb_rotary_drilling_v2,test,0,0
3914,HAL,TRIP-OUT,BH 47,halliburton_trip_out_v1,val,0,0
3915,slb ltd,tirp in,MB-096ST1,slb_trip_in_v1,train,0,0
3916,BKR,circulate,NS78,baker_hughes_circulating_v2,train,0,0
3917,Hallibuaton Energy Services,TRIP-QUT,AR86H,halliburton_trip_out_v1,val,0,0
3918,Hal,rotary drlg,BH-003,halliburton_rotary_drilling_v1,train,0,0
3919,Baker Hughes Co,  ROT  DRILL ,ar-93ST1,baker_hughes_rotary_drilling_v2,train,0,0
3920,HAL,slide ddrill,ns-12,halliburton_slide_drilling_v1,val,0,0
3921,SLB Ltd,tri in,mb-72A,slb_trip_in_v1,train,0,0
3922,BAKER HUGHES,  run  in hole ,AR 73H,baker_hughes_trip_in_v1,train,0,0
3923,Halliburton,slidink mode drilling,NS 12,halliburton_slide_drilling_v1,val,0,0
3924,Bakeer Hughes,Holee Circulation,AR-48,baker_hughes_circulating_v2,val,0,0
3925,BakerHughes Co,toh,NS-59ST1,baker_hughes_trip_out_v1,train,0,0
3926,Halliburton Energy Services,RIH,AR-080A,halliburton_trip_in_v1,val,0,0
3927,Baaker Hughes Co,drilling - slide,KG 4,baker_hughes_slide_drilling_v1,train,0,0
3928,Halliburton,Tooh,MB-55ST1,halliburton_trip_out_v1,train,0,0
3929,HAL,ROT DRILL,NS-057,halliburton_rotary_drilling_v2,val,0,0
3930,SLB Ltd,slide drill,MB-29A,slb_slide_drilling_v1,train,0,0
3931,BakerHughes,CIRCULATION,AR14A,baker_hughes_circulating_v2,test,0,0
3932,hal,RIH,NS-58,halliburton_trip_in_v1,train,0,0
3933,Halliburton Corp,fluid circulation,WELL-MB-69,halliburton_circulating_v1,test,1,1
3934,  Baker  Hughes Co ,slidingg mode drilling,ar-96,baker_hughes_slide_drilling_v1,train,0,0
3935,Halliburton Energy Services,Tripping In,NS 32ST1,halliburton_trip_in_v1,train,0,0
3936,Halliburton Energy Services,TOOH,bh-57A,halliburton_trip_out_v1,train,0,0
3937,SLB Ltd,ROT DRILL,WELL-BH-68,slb_rotary_drilling_v1,train,0,0
3938,Bkr,SLIDE DRILL,KG 36H,baker_hughes_slide_drilling_v1,train,0,0
3939,BAKER HUGHES,  Drilling  - Rotary ,MB-95A,baker_hughes_rotary_drilling_v1,test,0,0
3940,Halilburton Energy Services,circulation,NS-36ST1,halliburton_circulating_v2,train,0,0
3941,BKR,circulation,NS52ST1,baker_hughes_circulating_v2,train,0,0
3942,schlumbreger limited,DIRECTIONAL SLIDE,KG 7,slb_slide_drilling_v1,test,1,1
3943,halliburton co,Circulating,NS 31,halliburton_circulating_v2,train,0,0
3944,SB LTD,RO TDRILL,kg-58H,slb_rotary_drilling_v1,test,0,0
3945,bkr,trip in,KG 65,baker_hughes_trip_in_v1,train,0,0
3946,halliburton co,circ,KG-055ST1,halliburton_circulating_v1,train,0,0
3947,SLB,trip-out,BH 17,slb_trip_out_v1,train,0,0
3948,Halliburton,DRILLING - ROTARY,MB 6ST1,halliburton_rotary_drilling_v1,train,0,0
3949,SLB,TIH,AR-19,slb_trip_in_v1,train,0,0
3950,  Schlumberger  Ltd ,Trip In,ar-83,slb_trip_in_v1,train,0,0
3951,BAKER HUGHES,rotary drilling,AR-073H,baker_hughes_rotary_drilling_v2,train,0,0
3952,Baker Hukhes Co,DRILLING ROTARY,BH98,baker_hughes_rotary_drilling_v1,train,0,0
3953,SLB Ltd,hrle circulation,ar-13,slb_circulating_v2,train,0,0
3954,SLB Ltd,circulation,ar-70ST1,slb_circulating_v2,train,0,0
3955,SLB,circulating,ar-32ST1,slb_circulating_v2,test,0,0
3956,BKR,  rotary  drlg ,WELL-MB-92,baker_hughes_rotary_drilling_v1,train,0,0
3957,HALLIBURTON ENERGY SERVICES,tripping in,BH-034A,halliburton_trip_in_v1,train,0,0
3958,Halliburton,trip in,NS18H,halliburton_trip_in_v1,train,0,0
3959,  Slb  Ltd ,rotary rlg,NS-036ST1,slb_rotary_drilling_v2,train,0,0
3960,Schlumberger Ltd,drilling - slide,NS-020H,slb_slide_drilling_v1,val,0,0
3961,Halliburton Energy Services,TRIPFIN,KG-22ST1,halliburton_trip_in_v1,train,0,0
3962,Halliburton,TRIP-OUT,KG76,halliburton_trip_out_v1,train,0,0
3963,  Schlumberger ,rot driill,KG54,slb_rotary_drilling_v1,train,0,0
3964,BKR,Circ.,AR73H,baker_hughes_circulating_v2,train,0,0
3965,Baker Hughes Co,  Circulae ,KG 4,baker_hughes_circulating_v1,train,0,0
3966,BAKERHUHGES,TOOH,ns-34ST1,baker_hughes_trip_out_v1,train,0,0
3967,halliburton,rotary drlg,WELL-KG-58H,halliburton_rotary_drilling_v1,test,0,0
3968,SLB Ltd,drilling - rotary,BH17,slb_rotary_drilling_v1,train,0,0
3969,Bakerhughes,hole circulation,AR20,baker_hughes_circulating_v2,test,0,0
3970,BKR,Running In Hole,NS 37H,baker_hughes_trip_in_v1,val,0,0
3971,SCHLUMBERGER,sliding mode drilling,KG-036H,slb_slide_drilling_v1,train,0,0
3972,  Schlumberger ,  ROT  DRILL ,kg-96A,slb_rotary_drilling_v1,train,0,0
3973,halliburton,Circulaton,NS-62,halliburton_circulating_v2,train,0,0
3974,baker hughes co,slizing,ns-87,baker_hughes_slide_drilling_v1,train,0,0
3975,BakerHughees,hole circulation,KG76,baker_hughes_circulating_v1,train,0,0
3976,bkr,rih,AR-074,baker_hughes_trip_in_v1,val,0,0
3977,Halliburton Co,trip in,AR 18,halliburton_trip_in_v1,test,0,0
3978,Slb Otd,running in hole,MB-35A,slb_trip_in_v1,train,0,0
3979,BakerHugehs,sliding mode drilling,BH 69A,baker_hughes_slide_drilling_v1,train,0,0
3980,Halliburton Energy Services,  rot.  drilling ,BH-34A,halliburton_rotary_drilling_v1,train,0,0
3981,Halliburton Co,slide drilling,ns-4,halliburton_slide_drilling_v1,train,0,0
3982,Halliburton,drilling rotary,kg-12A,halliburton_rotary_drilling_v1,train,0,0
3983,Schlumberger Ltd,circ,BH29,slb_circulating_v1,train,0,0
3984,Hal,running in hole,MB8ST1,halliburton_trip_in_v1,train,0,0
3985,HALLIBURTON CO,trp-out,KG-15A,halliburton_trip_out_v1,train,0,0
3986,slb,Circulatiog,WELL-KG-95H,slb_circulating_v1,train,0,0
3987,  halliburton ,rot rill,NS-59ST1,halliburton_rotary_drilling_v2,train,0,0
3988,HAL,CIRC,BH-48H,halliburton_circulating_v1,train,0,0
3989,bakerhughes,TRIP OUT OF HOLE,MB 30H,baker_hughes_trip_out_v1,test,0,1
3990,SLB Ltd,rotary drill,NS 70,slb_rotary_drilling_v2,train,0,0
3991,halliburton co,PULLING OUT OF HOLE,KG-012A,halliburton_trip_out_v1,train,0,0
3992,SLB INTL,circulation,MB 28H,slb_circulating_v1,test,1,0
3993,  Baker  Huughes ,circ.,AR65H,baker_hughes_circulating_v2,train,0,0
3994,Slb Ltd,circulate,WELL-BH-68,slb_circulating_v1,train,0,0
3995,HALLIBURTON,drilling - rotary,MB42A,halliburton_rotary_drilling_v1,val,0,0
3996,BakerHughes,TIH,KG 32ST1,baker_hughes_trip_in_v1,train,0,0
3997,Baker Hughes Co,circ.,ar-59ST1,baker_hughes_circulating_v2,train,0,0
3998,Schlumberger,TRIP OUT,WELL-NS-63ST1,slb_trip_out_v1,train,0,0
3999,  SLB  Intl ,drilling - slide,MB-095A,slb_slide_drilling_v1,test,1,0
4000,BKR,  circ ,KG86H,baker_hughes_circulating_v1,train,0,0
4001,HALLIBURTON CO,ROTARY DRLG,mb-35A,halliburton_rotary_drilling_v1,train,0,0
4002,Hallibruton,slide drilling,WELL-MB-5ST1,halliburton_slide_drilling_v1,train,0,0
4003,bkr,sliing mode drilling,WELL-NS-31,baker_hughes_slide_drilling_v1,train,0,0
4004,halliburton energy srevices,RUNNING IN HOLE,AR-071ST1,halliburton_trip_in_v1,val,0,0
4005,schlumberger ltd,Circ,AR 17A,slb_circulating_v2,train,0,0
4006,Halliburton,hole circulation,WELL-BH-17,halliburton_circulating_v1,train,0,0
4007,BKR,trip un,MB-060,baker_hughes_trip_in_v1,test,0,0
4008,SLB,  silding ,MB-072A,slb_slide_drilling_v1,train,0,0
4009,Halliburton Energy Services,slide drill,KG96A,halliburton_slide_drilling_v1,train,0,0
4010,  Halliburton ,running in hole,WELL-BH-58A,halliburton_trip_in_v1,val,0,0
4011,Baker Hughes Co,Rotary Drlg,AR 68H,baker_hughes_rotary_drilling_v2,train,0,0
4012,  BakerHughes ,ciirc.,NS 36ST1,baker_hughes_circulating_v2,train,0,0
4013,BKR,circ.,NS-069ST1,baker_hughes_circulating_v2,train,0,0
4014,Halliburton Energy Services,drilling - slide,NS-34ST1,halliburton_slide_drilling_v1,train,0,0
4015,schlumberger ltd,ROTARY DRILL,NS-020H,slb_rotary_drilling_v2,val,0,0
4016,  Bkr ,Pull Out Of Hole,KG-001H,baker_hughes_trip_out_v1,val,0,0
4017,Hallibutron,  Pooh ,MB82ST1,halliburton_trip_out_v1,train,0,0
4018,SLB LDT,  RUNNING  IN HOLE ,BH94,slb_trip_in_v1,train,0,0
4019,baker hughes co,run in hale,BH-57A,baker_hughes_trip_in_v1,train,0,0
4020,schlumberger,  tooh ,WELL-KG-82,slb_trip_out_v1,train,0,0
4021,HALLIBURTON INTL,Rih,KG-087ST1,halliburton_trip_in_v1,test,1,0
4022,BKR,pulling out of hole,KG-044H,baker_hughes_trip_out_v1,train,0,0
4023,Halliburton Co,  slide  drlg ,MB-074H,halliburton_slide_drilling_v1,train,0,0
4024,Halliburton Energy Services,circ.,KG28ST1,halliburton_circulating_v1,val,0,0
4025,HALLIBURTON,RIH,KG44H,halliburton_trip_in_v1,train,0,0
4026,halliburton energy services,holecirculation,MB 35A,halliburton_circulating_v1,train,0,0
4027,slb,circulation,ar-39H,slb_circulating_v2,train,0,0
4028,Baker Hughes Co,pull out of hole,NS-080ST1,baker_hughes_trip_out_v1,train,0,0
4029,BKR,trip in,NS87,baker_hughes_trip_in_v1,train,0,0
4030,  Scslumberger ,running in hole,WELL-BH-94,slb_trip_in_v1,train,0,0
4031,Halliburton Co,  pulling  put of hole ,ar-97,halliburton_trip_out_v1,train,0,0
4032,bkr,rotary drilling,kg-97ST1,baker_hughes_rotary_drilling_v1,train,0,0
4033,Baker Hughes,RUN IN HOLE,NS-2ST1,baker_hughes_trip_in_v1,train,0,0
4034,Halliburton Co,rotary drilling,KG-12A,halliburton_rotary_drilling_v1,train,0,0
4035,bkr,  run  in hole ,KG49,baker_hughes_trip_in_v1,train,0,0
4036,BKR,TRIP-OUT,AR-9A,baker_hughes_trip_out_v1,val,0,0
4037,SLB,hole  circulation,KG 72H,slb_circulating_v1,train,0,0
4038,Bakerhughes,Slide Drlg,ar-83,baker_hughes_slide_drilling_v1,train,0,0
4039,Baker Hughes Co,tripping out,KG-86H,baker_hughes_trip_out_v1,train,0,0
4040,SCHLUUMBERGER LTD,Rotary Rdlg,KG-049,slb_rotary_drilling_v1,train,0,0
4041,Halliburton Co,rotary dirlling,NS-034ST1,halliburton_rotary_drilling_v2,train,0,0
4042,BaakerHughes,circ,WELL-KG-49,baker_hughes_circulating_v1,train,0,0
4043,Halliburton,drilling rotary,AR 2,halliburton_rotary_drilling_v2,val,0,0
4044,  Slb  Ltd ,Sliding Mode Drilling,MB 8ST1,slb_slide_drilling_v1,train,0,0
4045,Halliburton Co,Rot Drill,bh-98,halliburton_rotary_drilling_v1,train,0,0
4046,BAKER HUGHES CCO,rotary drlg,BH36,baker_hughes_rotary_drilling_v1,train,0,0
4047,hal,pull out of hole,mb-52,halliburton_trip_out_v1,train,0,0
4048,Halliburton Energy Services,rotary drilling,AR-015H,halliburton_rotary_drilling_v2,train,0,0
4049,  hal ,HOLE CIRCULATION,NS 28ST1,halliburton_circulating_v2,test,0,0
4050,BKR,  ROTAR  DRLG ,KG-76,baker_hughes_rotary_drilling_v1,train,0,0
4051,Schlumberger,circulation,bh-47,slb_circulating_v1,val,0,0
4052,Schlumberger tLd,running in hole,MB-064,slb_trip_in_v1,train,0,0
4053,HAL,drilling - rotary,WELL-KG-95H,halliburton_rotary_drilling_v1,train,0,0
4054,BKR,CIIRC,KG-018,baker_hughes_circulating_v1,val,0,0
4055,Schlumberrger,drilling - slide,BH-40,slb_slide_drilling_v1,test,0,0
4056,SLB Ltd,  Rotating  Drilling ,BH-040,slb_rotary_drilling_v1,test,0,1
4057,SLB LTD,slidilg mode drilling,AR-074,slb_slide_drilling_v1,val,0,0
4058,HALLIBURTON ENERGY SERVICES,circulate,NS-49,halliburton_circulating_v2,train,0,0
4059,baerhughes,TIH,WELL-KG-86H,baker_hughes_trip_in_v1,train,0,0
4060,Hallibuurton Energy Services,pulling out hole,WELL-NS-28ST1,halliburton_trip_out_v1,test,0,1
4061,HALLIBURTON ENERGY SERVICES,rotary drill,WELL-KG-86H,halliburton_rotary_drilling_v1,train,0,0
4062,Slb Ltd,run ni hole,WELL-KG-97ST1,slb_trip_in_v1,train,0,0
4063,HAL,Sliding Mode Drilling,WELL-AR-19,halliburton_slide_drilling_v1,train,0,0
4064,  Halliburton ,circ.,AR14A,halliburton_circulating_v2,test,0,0
4065,Baker Hughes Co,trp in,MB6ST1,baker_hughes_trip_in_v1,train,0,0
